                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3098,                0.88754,                  1.119,                0.89274,                0.77527,                0.80766,                0.45062,                 1.4931,                 1.0452,                 1.3174,             0.00043325,             0.00043325,             0.00043325
                     36,                  1.281,                0.88363,                 1.1135,                0.88307,                0.76952,                0.83992,                0.46155,                 1.5279,                 1.0089,                 1.3358,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.2155,                0.80674,                 1.0578,                 0.8259,                0.76774,                0.80774,                0.48061,                  1.533,                0.95993,                 1.3322,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.1653,                0.80869,                 1.0325,                0.80913,                 0.7698,                0.78746,                0.45787,                 1.4922,                0.93163,                  1.302,               0.000359,               0.000359,               0.000359
                     39,                 1.1724,                0.75078,                 1.0325,                0.84003,                0.74552,                0.82839,                0.46661,                 1.4787,                 0.9273,                 1.2833,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.1771,                0.77085,                 1.0273,                0.80481,                0.74771,                0.82821,                0.46486,                 1.4873,                0.93323,                 1.2854,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.2067,                 0.7977,                 1.0889,                0.78455,                0.72855,                0.81316,                0.43782,                 1.4542,                0.90644,                 1.2668,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.1212,                0.71226,                 1.0529,                0.78692,                 0.7783,                0.80019,                0.45826,                 1.4018,                0.91133,                 1.2595,                0.00026,                0.00026,                0.00026
                     43,                 1.0828,                0.67672,                 1.0287,                0.84093,                0.77032,                0.81485,                0.46533,                 1.3623,                0.90547,                 1.2505,             0.00023525,             0.00023525,             0.00023525
                     44,                 1.1201,                0.70957,                 1.0497,                0.82781,                0.79782,                 0.8227,                0.49197,                 1.3604,                0.86521,                 1.2497,              0.0002105,              0.0002105,              0.0002105
                     45,                 1.0551,                0.64856,                 1.0179,                0.80922,                0.82294,                0.83238,                0.47511,                  1.361,                0.82913,                 1.2485,             0.00018575,             0.00018575,             0.00018575
                     46,                 1.0533,                0.65382,                 1.0122,                0.78989,                0.81147,                0.79279,                0.47838,                 1.3747,                0.82449,                 1.2516,               0.000161,               0.000161,               0.000161
                     47,                  1.052,                0.65263,                 1.0139,                0.77065,                0.81147,                0.79772,                0.49772,                 1.3989,                0.81749,                 1.2627,             0.00013625,             0.00013625,             0.00013625
                     48,                 1.0492,                0.64201,                 1.0344,                0.90081,                0.76938,                0.82831,                0.49222,                  1.408,                0.82356,                 1.2682,              0.0001115,              0.0001115,              0.0001115
                     49,                 1.0171,                0.63458,                 1.0074,                0.89673,                0.78382,                0.82691,                0.47395,                 1.4226,                0.83924,                 1.2753,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                  1.003,                0.63423,                 1.0015,                0.91398,                0.80345,                0.84706,                0.48188,                 1.4216,                0.83953,                 1.2786,                6.2e-05,                6.2e-05,                6.2e-05
