                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     27,                 1.1204,                 0.7358,                 1.0263,                0.86153,                0.72914,                0.76965,                  0.443,                  1.442,                 0.8498,                 1.2396,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.0945,                0.71286,                 1.0096,                0.88738,                0.69594,                0.79763,                0.50013,                 1.3991,                0.81635,                 1.2239,              0.0006065,              0.0006065,              0.0006065
                     29,                 1.0575,                0.68607,                 1.0019,                0.86575,                0.70036,                0.77827,                0.49956,                 1.2889,                0.74811,                 1.1388,             0.00058175,             0.00058175,             0.00058175
                     30,                 1.0913,                0.71399,                 1.0026,                0.81891,                0.81324,                0.83327,                0.45219,                 1.3725,                0.74931,                 1.2314,               0.000557,               0.000557,               0.000557
                     31,                 1.0398,                0.68477,                0.99413,                0.87162,                0.82294,                0.83603,                0.49509,                  1.377,                0.82022,                  1.221,             0.00053225,             0.00053225,             0.00053225
                     32,                 1.0649,                0.67734,                 1.0036,                0.83851,                0.82135,                0.85997,                0.53106,                 1.2953,                0.72205,                 1.1748,              0.0005075,              0.0005075,              0.0005075
                     33,                 1.0239,                0.67411,                0.98619,                0.87762,                0.83638,                0.87215,                0.53502,                 1.2126,                0.68049,                 1.1438,             0.00048275,             0.00048275,             0.00048275
                     34,                 1.0257,                0.67146,                0.97886,                0.84574,                0.80008,                0.83792,                0.52861,                 1.2198,                0.74374,                 1.1459,               0.000458,               0.000458,               0.000458
                     35,                0.98957,                0.63428,                0.98341,                0.85603,                0.78925,                0.85985,                0.50529,                  1.294,                0.78229,                 1.1739,             0.00043325,             0.00043325,             0.00043325
                     36,                 0.9826,                0.61998,                0.97173,                 0.9119,                 0.8292,                0.87863,                0.51771,                 1.2322,                0.78745,                 1.1584,              0.0004085,              0.0004085,              0.0004085
                     37,                0.98044,                0.61646,                0.97172,                0.85935,                0.84672,                0.86519,                0.52865,                 1.2408,                0.75083,                 1.1515,             0.00038375,             0.00038375,             0.00038375
                     38,                0.99642,                0.62609,                0.97096,                0.90617,                0.83559,                0.86732,                0.51845,                 1.2318,                0.77865,                  1.159,               0.000359,               0.000359,               0.000359
                     39,                0.99424,                0.61703,                0.96959,                0.85752,                0.80091,                  0.849,                0.52475,                 1.2936,                0.75981,                  1.164,             0.00033425,             0.00033425,             0.00033425
                     40,                0.97757,                0.61399,                0.96152,                0.82955,                 0.7121,                0.82445,                 0.4879,                  1.258,                0.73757,                 1.1299,              0.0003095,              0.0003095,              0.0003095
                     41,                0.93393,                0.55832,                 0.9576,                0.69826,                0.88889,                0.85154,                0.52258,                 1.2491,                0.69481,                 1.1381,             0.00028475,             0.00028475,             0.00028475
                     42,                0.92092,                 0.5567,                0.95695,                0.94085,                0.71619,                0.87295,                0.50309,                 1.2596,                0.67807,                 1.1591,                0.00026,                0.00026,                0.00026
                     43,                0.92039,                0.55621,                0.95395,                0.86102,                0.87876,                0.87531,                0.52062,                  1.286,                0.70541,                 1.1665,             0.00023525,             0.00023525,             0.00023525
                     44,                0.90145,                0.54097,                0.95624,                0.93604,                 0.6906,                 0.8424,                0.50538,                 1.3008,                0.71059,                 1.1581,              0.0002105,              0.0002105,              0.0002105
                     45,                0.88247,                0.52772,                0.94162,                 0.8705,                0.84345,                0.87158,                0.51907,                 1.2482,                0.73037,                 1.1324,             0.00018575,             0.00018575,             0.00018575
                     46,                0.88291,                0.52091,                0.93402,                0.87105,                 0.8441,                0.85951,                0.54452,                 1.2374,                0.76878,                 1.1224,               0.000161,               0.000161,               0.000161
                     47,                0.86968,                0.50969,                 0.9429,                0.85829,                0.82568,                0.86906,                0.55845,                 1.2177,                0.69396,                 1.1052,             0.00013625,             0.00013625,             0.00013625
                     48,                0.85594,                0.50412,                0.92953,                0.90822,                0.86326,                0.89672,                 0.5596,                 1.2105,                0.67983,                 1.1011,              0.0001115,              0.0001115,              0.0001115
                     49,                0.86895,                0.51522,                0.93697,                0.87671,                0.82365,                0.85338,                0.55653,                 1.1928,                 0.6568,                 1.0954,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.83857,                 0.4974,                0.92567,                 0.8882,                0.81415,                0.87005,                0.55208,                 1.1863,                0.64588,                 1.0973,                6.2e-05,                6.2e-05,                6.2e-05
