                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9599,                 3.1949,                 1.5013,                0.66929,                0.25826,                0.28161,                0.11922,                 2.1491,                 2.3275,                   1.63,             0.00040761,             0.00040761,             0.00040761
                      2,                  1.664,                 1.8654,                 1.2752,                0.46732,                0.38136,                0.34916,                0.17812,                 1.9987,                 3.0227,                 1.5537,             0.00080795,             0.00080795,             0.00080795
                      3,                 1.6281,                 1.6884,                 1.2619,                0.66618,                 0.3675,                0.43381,                0.22576,                 1.7264,                 4.5342,                 1.4376,              0.0011918,              0.0011918,              0.0011918
                      4,                 1.5842,                    1.5,                 1.2432,                0.72516,                0.32105,                0.38722,                0.19361,                 1.6697,                 2.2581,                 1.5369,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.6267,                  1.496,                 1.2267,                0.53897,                0.45735,                0.44378,                0.22861,                 1.8397,                 1.7167,                 1.5351,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.5817,                 1.4013,                 1.2462,                0.54278,                0.55699,                0.49623,                0.22168,                   1.61,                 1.3029,                 1.3932,               0.001151,               0.001151,               0.001151
                      7,                 1.5099,                  1.246,                 1.2153,                0.45931,                0.58563,                 0.5424,                0.25844,                 1.7445,                 1.4378,                 1.5206,              0.0011263,              0.0011263,              0.0011263
                      8,                  1.498,                 1.2036,                 1.1897,                0.82873,                0.59137,                0.64996,                0.31343,                 1.6551,                 1.2694,                 1.4113,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.4225,                 1.1487,                 1.1659,                0.65814,                0.65226,                0.65546,                 0.2945,                 1.6281,                 1.2812,                 1.4232,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.4339,                 1.1758,                 1.1641,                0.69926,                0.62538,                0.65197,                0.32637,                 1.5272,                 1.0727,                 1.3667,               0.001052,               0.001052,               0.001052
                     11,                 1.3714,                 1.0984,                 1.1395,                0.50397,                0.64588,                0.51974,                0.24812,                  1.614,                 1.2347,                 1.4002,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.3224,                 1.0132,                 1.1181,                0.56201,                0.56703,                0.62806,                0.32332,                 1.4882,                 1.0023,                 1.2865,              0.0010025,              0.0010025,              0.0010025
                     13,                  1.312,                 0.9905,                 1.0985,                0.85781,                0.60824,                0.71946,                0.35879,                 1.5659,                 1.0279,                  1.285,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.3019,                 1.0129,                 1.0992,                0.51646,                 0.6666,                0.57491,                0.34347,                  1.457,                0.98725,                  1.255,               0.000953,               0.000953,               0.000953
                     15,                 1.2514,                0.95252,                 1.0928,                 0.8582,                0.68941,                0.74506,                0.42637,                 1.3309,                0.93167,                 1.2015,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.2505,                0.90117,                 1.0769,                0.82879,                 0.6543,                0.70987,                0.38552,                 1.4751,                 1.0279,                 1.2357,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.2329,                0.87348,                 1.0595,                0.84431,                0.66915,                 0.7542,                0.40875,                 1.4431,                0.92208,                 1.2501,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.2506,                0.87503,                 1.0713,                0.85272,                 0.7217,                 0.7805,                0.39926,                 1.5488,                0.94705,                 1.2834,               0.000854,               0.000854,               0.000854
                     19,                 1.2362,                0.84787,                 1.0765,                0.83584,                0.65831,                0.77384,                0.38767,                 1.4656,                0.97961,                 1.2395,             0.00082925,             0.00082925,             0.00082925
                     20,                 1.1952,                0.83029,                 1.0597,                0.88776,                0.60414,                 0.7724,                0.46345,                 1.3339,                0.90603,                 1.2053,              0.0008045,              0.0008045,              0.0008045
                     21,                  1.193,                 0.8194,                 1.0482,                0.85074,                0.61003,                0.78148,                 0.4762,                 1.3295,                0.89488,                 1.2134,             0.00077975,             0.00077975,             0.00077975
                     22,                 1.1856,                0.83501,                 1.0663,                0.73519,                0.75699,                0.74951,                0.46083,                 1.3623,                0.89727,                 1.2218,               0.000755,               0.000755,               0.000755
                     23,                 1.1742,                0.81532,                 1.0386,                0.87758,                0.63704,                  0.746,                0.45526,                 1.3795,                0.91257,                 1.1994,             0.00073025,             0.00073025,             0.00073025
                     24,                  1.165,                0.80551,                 1.0416,                0.83074,                0.77512,                0.82041,                0.50565,                 1.3447,                0.86104,                 1.1976,              0.0007055,              0.0007055,              0.0007055
                     25,                 1.1067,                0.73922,                 1.0121,                0.88828,                0.71529,                0.77239,                0.48961,                 1.3752,                0.80672,                 1.2183,             0.00068075,             0.00068075,             0.00068075
                     26,                 1.1033,                 0.7318,                 1.0119,                0.92822,                0.66363,                0.76419,                0.47638,                 1.3594,                 0.7912,                 1.2091,               0.000656,               0.000656,               0.000656
